Title,Junior Programmer
URL,https://learn.unity.com/pathway/junior-programmer?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0
By,Unity Technologies
Use Unity Version,6.0
Total Estimated Duration(HH:MM:SS),47:00:00
Summary,"Welcome to Junior Programmer! Designed for anyone interested in learning to code or obtaining an entry-level Unity role, this pathway assumes a basic knowledge of Unity and has no math prerequisites. Junior Programmer prepares you to get Unity Certified so that you can demonstrate your job-readiness to employers."

Title,URL,Type,Duration(HH:MM:SS),Summary

Mission 1: Player Control,,,07:25:00,"In this first mission in the Junior Programmer pathway, you will program a car moving side-to-side on a floating road, trying to avoid (or hit) obstacles in the way. In addition to becoming familiar with the Unity editor and workflow, you will learn how to create new C# scripts and do some simple programming. By the end of the Unit, you will be able to call basic functions, then declare and tweak new variables to modify the results of those functions."
Course Introduction,https://learn.unity.com/tutorial/6751df66edbc2a0075fc7019?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:10:00,"In this lesson, you will be introduced to the course, its goals, what it involves, and how you can get the most out of it"
Install Unity Software,https://learn.unity.com/tutorial/67531723edbc2a0556088d54?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:25:00,"Overview: If you do not already have the recommended version of Unity installed on your computer, the first thing you need to do before you get started on the course is install it. In order to do so, if you don’t have one already, you will need to create a Unity ID. When you install the software, you will install Unity Hub, which allows you to manage your installations and projects, the Unity engine itself, and Visual studio, the Integrated Development Environment (or IDE) you will use to code in C#.Project Outcome:Unity Hub, the Unity Editor, and Visual Studio will all be installed on your computer."
Unit 1 - Introduction,https://learn.unity.com/tutorial/674f6669edbc2a2525914119?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:05:00,"An introductory video for Unit 1, where you will learn to implement Player Control."
Lesson 1.1 - Start your 3D Engines ,https://learn.unity.com/tutorial/674f41a1edbc2a1e806fc559?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:20:00,"Overview: In this lesson, you will create your very first game project in Unity Hub. You will choose and position a vehicle for the player to drive and an obstacle for them to hit or avoid. You will also set up a camera for the player to see through, giving them a perfect view of the scene. Throughout this process, you will learn to navigate the Unity Editor and grow comfortable moving around in 3D Space. Lastly, you will customize your own window layout for the Unity Editor.Project Outcome:You will have a vehicle and obstacle positioned on the road and the camera set up perfectly behind the vehicle. You will also have a new custom Unity layout, perfectly optimized for editing."
Lesson 1.2 - Pedal to the Metal,https://learn.unity.com/tutorial/674f6693edbc2a252f49ff70?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:10:00,"Overview: In this lesson you will make your driving simulator come alive. First you will write your very first lines of code in C#, changing the vehicle’s position and allowing it to move forward. Next you will add physics components to your objects, allowing them to collide with one another. Lastly, you will learn how to duplicate objects in the hierarchy and position them along the road. Project Outcome:You will have a moving vehicle with its own C# script and a road full of objects, all of which may collide with each other using physics components."
Lesson 1.3 - High Speed Chase,https://learn.unity.com/tutorial/67507c75edbc2a245d3b76cb?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:50:00,"Overview: Keep your eyes on the road! In this lesson you will code a new C# script for your camera, which will allow it to follow the vehicle down the road and give the player a proper view of the scene. In order to do this, you’ll have to use a very important concept in programming: variables.Project Outcome:The camera will follow the vehicle down the road through the scene, allowing the player to see where it’s going."
Lesson 1.4 - Step into the Driver's Seat,https://learn.unity.com/tutorial/675081e7edbc2a245d3b777b?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:50:00,"Overview: In this lesson, we need to hit the road and gain control of the vehicle. In order to do so, we need to detect when the player is pressing the arrow keys, then accelerate and turn the vehicle based on that input. Using new methods, Vectors, and variables, you will allow the vehicle to move forwards or backwards and turn left to right.Project Outcome:When the player presses the up/down arrows, the vehicle will move forward and backward. When the player presses the left/right arrows, the vehicle will turn."
Challenge 1 - Plane Programming,https://learn.unity.com/tutorial/6750bd70edbc2a016ab00607?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:30:00,Challenge Overview:Use the skills you learned in the driving simulation to fly a plane around obstacles in the sky. You will have to get the user’s input from the up and down arrows in order to control the plane’s pitch up and down. You will also have to make the camera follow alongside the plane so you can keep it in view.Challenge Outcome:The plane moves forward at a constant rateThe up/down arrows tilt the nose of the plane up and downThe camera follows along beside the plane as it flies
Lab 1 - Project Design Document,https://learn.unity.com/tutorial/6750c4b7edbc2a016ab006cb?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:30:00,"Overview: In this first ever Lab session, you will begin the preliminary work required to successfully create a personal project in this course. First, you’ll learn what a personal project is, what the goals for it are, and what the potential limitations are. Then you will take the time to come up with an idea and outline it in detail in your Design Document, including a timeline for when you hope to complete certain features. Finally, you will take some time to draw a sketch of your project to help you visualize it and share your idea with others.Project Outcome:The Design Document will be filled out, including the concept, the timeline, and a preliminary sketch of the minimum viable product."
Introduction to project management and teamwork,https://learn.unity.com/tutorial/5fad6521edbc2a07ae8da53e?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,"Most jobs in the design and development world require teamwork and will use project management and planning tools to ensure successful project delivery. In this tutorial, you’ll be introduced to key concepts and best practices used for project planning, production phases, project management, and working in teams."
Quiz 1,https://learn.unity.com/quiz/6751dcadedbc2a00612379f7?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:15:00,This quiz will assess your knowledge of the skills and concepts learned in Unit 1 of the course.

